filename,category,width,height,orientation,status,preprocess_ms,inference_ms,postprocess_ms,total_ms,raw_candidates,after_conf,after_nms,canonical_detections,found_classes,expected,expected_found,rotation_consistent
cow_01_herdsman.jpg,MIXED,2464,1632,LANDSCAPE,DETECTOR_OK,13.495,92.565,16.010,122.070,8400,11,2,2,COW PERSON,COW PERSON,YES,90:YES 180:YES 270:YES
cow_02_road_crossing.jpg,COW,540,360,LANDSCAPE,DETECTOR_OK,9.908,72.220,1.817,83.945,8400,82,9,9,COW,COW,YES,
cow_03_field.jpg,COW,1024,617,LANDSCAPE,DETECTOR_OK,2.670,110.539,1.387,114.596,8400,40,6,6,COW,COW,YES,
cow_04_cow_head.jpg,COW,640,480,LANDSCAPE,DETECTOR_OK,6.431,55.930,1.120,63.482,8400,19,3,3,DOG PERSON,COW,NO,
dog_01_dirt_road.jpg,DOG,500,375,LANDSCAPE,DETECTOR_OK,4.824,58.984,1.289,65.097,8400,10,1,1,DOG,DOG,YES,
dog_02_stray.jpg,DOG,500,333,LANDSCAPE,DETECTOR_OK,5.063,53.005,1.119,59.187,8400,10,1,1,DOG,DOG,YES,
dog_03_bengaluru.jpg,DOG,500,375,LANDSCAPE,DETECTOR_OK,4.816,66.331,0.895,72.042,8400,10,1,1,DOG,DOG,YES,90:YES 180:YES 270:YES
dog_04_black_dog_person_bg.jpg,MIXED,500,333,LANDSCAPE,DETECTOR_OK,4.344,52.119,0.938,57.401,8400,20,2,2,COW PERSON,DOG PERSON,PARTIAL,
horse_01_sign_only.jpg,ROAD_EMPTY,800,533,LANDSCAPE,DETECTOR_OK,4.358,67.411,0.968,72.738,8400,9,1,1,HORSE,NONE,N/A (none expected),
horse_02_carriage.jpg,HORSE,800,534,LANDSCAPE,DETECTOR_OK,4.875,57.347,1.572,63.795,8400,18,2,1,HORSE,HORSE,YES,
horse_03_amish_carriage.jpg,HORSE,800,448,LANDSCAPE,DETECTOR_OK,4.604,62.123,1.174,67.900,8400,9,1,1,HORSE,HORSE,YES,
horse_04_fence.jpg,HORSE,612,326,LANDSCAPE,DETECTOR_OK,4.920,67.901,1.165,73.987,8400,19,2,2,HORSE,HORSE,YES,
horse_05_portrait.jpg,MIXED,830,1250,PORTRAIT,DETECTOR_OK,12.262,62.623,1.749,76.633,8400,20,2,2,HORSE PERSON,HORSE PERSON,YES,90:YES 180:YES 270:YES
horse_06_woman_leading.jpg,HORSE,1195,1412,PORTRAIT,DETECTOR_OK,5.668,62.329,1.110,69.107,8400,10,1,1,HORSE,HORSE,YES,
horse_07_herd_sunrise.jpg,HORSE,612,408,LANDSCAPE,DETECTOR_OK,4.738,61.801,1.210,67.748,8400,40,4,4,HORSE,HORSE,YES,
mixed_01_crosswalk_dog_person.jpg,MIXED,740,493,LANDSCAPE,DETECTOR_OK,4.667,69.725,1.440,75.832,8400,20,2,2,DOG PERSON,DOG PERSON,YES,90:YES 180:YES 270:YES
night_01_person_crossing.jpg,PERSON,612,407,LANDSCAPE,DETECTOR_OK,4.757,63.547,1.125,69.429,8400,9,1,1,PERSON,PERSON,YES,
night_02_two_people.jpg,PERSON,612,408,LANDSCAPE,DETECTOR_OK,5.054,61.116,1.213,67.384,8400,21,4,2,PERSON,PERSON,YES,
night_03_woman_bridge.jpg,PERSON,612,449,LANDSCAPE,DETECTOR_OK,5.132,60.761,2.330,68.222,8400,31,4,2,PERSON,PERSON,YES,
person_01_sidewalk_portrait.jpg,PERSON,500,666,PORTRAIT,DETECTOR_OK,5.203,61.250,1.179,67.633,8400,12,1,1,PERSON,PERSON,YES,
person_02_street_portrait_tall.jpg,PERSON,500,889,PORTRAIT,DETECTOR_OK,3.980,58.954,1.667,64.602,8400,32,4,1,PERSON,PERSON,YES,90:YES 180:YES 270:YES
person_03_group_sidewalk.jpg,PERSON,500,333,LANDSCAPE,DETECTOR_OK,4.855,58.126,1.588,64.569,8400,99,13,11,PERSON,PERSON,YES,90:YES 180:YES 270:YES
person_04_elderly_back_portrait.jpg,PERSON,500,750,PORTRAIT,DETECTOR_OK,4.775,53.678,1.161,59.614,8400,31,5,3,PERSON,PERSON,YES,
road_empty_01_portrait.jpg,ROAD_EMPTY,500,750,PORTRAIT,DETECTOR_OK,4.744,54.597,1.049,60.390,8400,0,0,0,,NONE,N/A (none expected),
road_empty_02_fog.jpg,ROAD_EMPTY,500,333,LANDSCAPE,DETECTOR_OK,4.701,58.356,1.235,64.292,8400,0,0,0,,NONE,N/A (none expected),
road_empty_03_forest.jpg,ROAD_EMPTY,500,381,LANDSCAPE,DETECTOR_OK,5.150,55.664,1.103,61.917,8400,0,0,0,,NONE,N/A (none expected),90:YES (both empty) 180:YES (both empty) 270:YES (both empty)
road_empty_04_dusk_portrait.jpg,ROAD_EMPTY,500,750,PORTRAIT,DETECTOR_OK,4.741,54.589,1.285,60.615,8400,0,0,0,,NONE,N/A (none expected),
road_empty_05_desert_portrait.jpg,ROAD_EMPTY,500,750,PORTRAIT,DETECTOR_OK,6.769,61.892,1.159,69.820,8400,0,0,0,,NONE,N/A (none expected),
sheep_01_road_cars.jpg,SHEEP,612,344,LANDSCAPE,DETECTOR_OK,4.112,60.113,1.651,65.876,8400,78,11,9,SHEEP,SHEEP,YES,
sheep_02_zebra_crossing.jpg,SHEEP,612,408,LANDSCAPE,DETECTOR_OK,4.911,59.290,1.203,65.404,8400,28,3,3,SHEEP,SHEEP,YES,90:YES 180:YES 270:YES
sheep_03_roadside.jpg,MIXED,612,408,LANDSCAPE,DETECTOR_OK,5.295,60.928,1.348,67.572,8400,61,9,8,PERSON SHEEP,SHEEP PERSON,YES,
